Organisation,Deployment,Consentimento API,Dados Cadastrais (PF) API,Dados Cadastrais (PJ) API,Resources API,Contas API,Cartão de Crédito API,Operações de Crédito - Empréstimos API,Operações de Crédito - Financiamentos API,Operações de Crédito - Adiantamento a Depositantes API,Operações de Crédito - Direitos Creditórios Descontados API
Banco Bradesco Financiamentos S.A.,Bradesco Financiamentos - Open Finance Brazil v1.0,,,[09 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/business/1.0.3/BUSINESS-CUSTOMER.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=2sJH5369BScaI) PASS,,,,,,,
Banco Original,Release T0 Fase 2,[10 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/API_Consents.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=bC8uMhwpSMJ1w)   PASS,[10 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/API_Personal_Customers.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=ZverQWIG8qEGc)   PASS,[10 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/business/1.0.3/API_Business_Customers.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=ZTjs2VJ1UE6tf)   PASS,[10 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/API_Resources.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=XrtirERrfVPU6)   PASS,,,,,,
Banco Original,Release T1 Fase 2,,,,,[15 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/accounts/1.0.3/Account_api_test-mtls-by_value-plain_response-q4iFISgVGtQwa-15-Sep-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=q4iFISgVGtQwa) PASS,,,,,
Banco Original,Release T2 Fase 2,,,,,,[28 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/credit-card/1.0.4/Banco_original_Credit_card_api_test-mtls-by_value-plain_response-CGlnJ7ofYOFxt-28-Sep-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=CGlnJ7ofYOFxt)   PASS,[30 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/loans/1.0.4/Loans_api_test-mtls-by_value-plain_response-2y3mi0o7PTnku-30-Sep-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=2y3mi0o7PTnku) PASS,[30 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/financings/1.0.4/Financings_api_test-mtls-by_value-plain_response-xs6A9Zx0er6Q5-30-Sep-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=xs6A9Zx0er6Q5) PASS,[01 Oct 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/unarranged-overdraft/1.0.4/Unarranged_overdraft_api_test-mtls-by_value-plain_response-d6T9REtW0tUKw-05-Oct-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=d6T9REtW0tUKw) PASS,[01 Oct 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/invoice-financings/1.0.4/banco_original_discount_credit.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=kfLibslSoemSt) PASS
Banco Safra S.A.,Safra Open Banking 1.0.0,[09 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Banco_Safra_SA-Safra_Open_Banking-API-CONSENTS-private_key_jwt-08-Aug-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=XOTKyJgQamFya) PASS,[09 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/Banco_Safra_SA-Safra_Open_Banking-API-CUSTOMERS-PERSONAL-private_key_jwt-08-Aug-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=DGFmCpzYGWe0H) PASS,[09 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/business/1.0.3/Banco_Safra_SA-Safra_Open_Banking-API-CUSTOMERS-BUSINESS-private_key_jwt-08-Aug-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=0iVkW7cdXOmWL) PASS,[09 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Banco_Safra_SA-Safra_Open_Banking-API-RESOURCES-private_key_jwt-08-Aug-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=NmTGv4NPg3LdV) PASS,[24 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/accounts/1.0.3/Banco_Safra_SA-Safra_Open_Banking-API-ACCOUNTS-private_key_jwt-24-Sep-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=ekqFBi7w8dRea) PASS,[24 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/credit-card/1.0.4/Banco_Safra_SA-Safra_Open_Banking-API-CREDIT-CARDS-ACCOUNTS-private_key_jwt-24-Sep-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=0qkrCvpepRLR0) PASS,[24 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/loans/1.0.4/Banco_Safra_SA-Safra_Open_Banking-API-LOANS-private_key_jwt-24-Sep-2021-2.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=0WUoZUca4sQh1)  PASS,[24 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/financings/1.0.4/Banco_Safra_SA-Safra_Open_Banking-API-FINANCINGS-private_key_jwt-24-Sep-2021-2.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=RXxktxvnwJDHb)   PASS,,[24 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/invoice-financings/1.0.4/Banco_Safra_SA-Safra_Open_Banking-API-INVOICE-FINANCINGS-private_key_jwt-24-Sep-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=C0LMpq3Qr3Tr1) PASS
CAIXA ECONÔMICA FEDERAL,Caixa_SIOBA_r25,[10 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/CAIXA-SIOBA-API-CONSENT-private_key_jwt-05-Aug-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=XbtEUNfaLLPzF) PASS,,,[10 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/CAIXA-SIOBA-API-RESOURCE-private_key_jwt-05-Aug-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=FIUMTsyZVwh8h) PASS,,,,,,
CAIXA ECONÔMICA FEDERAL,Caixa_SIBSA_r127,,[10 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/CAIXA-SIBSA-API-PERSONAL-CUSTOMER-DATA-private_key_jwt-05-Aug-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=ZNch4yuJfdzKL) PASS,[05 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/business/1.0.3/CAIXA-SIBSA-API-BUSINESS-CUSTOMER-DATA-private_key_jwt-05-Aug-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=wz9JKM4sNjb4q) PASS,,,,,,,
CAIXA ECONÔMICA FEDERAL,Caixa_SIDPN,,,,,[Aug 31 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/accounts/1.0.3/Account_api_test-private_key_jwt-01-Set-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=8JVUNd3LNXvcd) PASS,,[20 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/loans/1.0.4/CAIXA-SIDPN-API-Loans-private_key_jwt-20-Sept-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=vsnzcXy4m7r0j) PASS,[20 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/financings/1.0.4/CAIXA-SIDPN-API-Financings-private_key_jwt-20-Sept-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=B8a44c9Vouds6) PASS,[22 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/unarranged-overdraft/1.0.4/CAIXA-SIDPN-API-Unarranged_Overdraft_-private_key_jwt-23-Sept-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=TTu8VvHoWrYkb) PASS,[22 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/invoice-financings/1.0.4/CAIXA-SIDPN-API-Discounted-Credit-Rights-private_key_jwt-23-Sept-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=U8SlPQQNWefh4) PASS
CAIXA ECONÔMICA FEDERAL,Caixa_SIBSA,,,,,,[24 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/credit-card/1.0.4/CAIXA-SIBSA-API-Credit-Card_key_jwt-24-Sept-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=lhWMUzjBuhqNq) PASS,,,,
CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI,Open Banking 1.0.0,[09 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Confederacao_das_Cooperativas_do_Sicredi-Confederacao_Sicredi-Open_Banking_1.0.3_Consents_API-03-Ago-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=qdPC8YzV6x6n6)   PASS,[09 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/Confederacao_das_Cooperativas_do_Sicredi-Confederacao_Sicredi-Open_Finance_1-5.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=XR03gM0lDPSBK) PASS,[09 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/business/1.0.3/Confederacao_das_Cooperativas_do_Sicredi-Confederacao_Sicredi-Open_Banking_Customer_Business-1.0.3API-03-Ago-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=QONQnjfmKabGR)   PASS,[06 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Confederacao_das_Cooperativas_do_Sicredi-Confederacao_Sicredi-Open_Banking_1.0.2_Resources_API-06-Ago-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=KiESTelNzFxZh)   PASS,[04 Oct 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/accounts/1.0.3/Confederacao_das_Cooperativas_do_Sicredi-Confederacao_Sicredi-Open_Banking_1.0.3-Accounts-API-04-Out-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=NEfEW6wLMjhpK)  PASS,[21 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/credit-card/1.0.4/Confederacao_das_Cooperativas_do_Sicredi-Confederacao_Sicredi-Open_Banking_1.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=3A6W8RBVltrZr) PASS,,,,
Citibank SA,Open Banking Citibank & V.1.0,,,,,[21 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/accounts/1.0.3/Account_api_test-private_key_jwt-by_value-plain_response-auhqtXTHT7QXD-21-Sep-2021-3.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=9kbHDkW7v7CCB),[23 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/credit-card/1.0.4/Credit_card_api_test-private_key_jwt-by_value-plain_response-qrWVn81zTWAEp-23-Sep-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=qrWVn81zTWAEp) PASS,[21 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/loans/1.0.4/Loans_api_test-private_key_jwt-by_value-plain_response-D5kIOZy7aVtBZ-21-Sep-2021-3.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=p7pfNSgGoeMAx) PASS,,,
Itaú Unibanco S.A.,Itaú Unibanco v1.0,[10 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Itau_Unibanco_S.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=jtawbqGifGVfI) PASS,[09 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/Itau_Unibanco_S.A.-Itau-Customer_PF_API-1.0.0_v8-API-CUSTOMER-PERSONAL-private_key_kwt-06-Aug-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=lNuroPei34L81) PASS,,[05 Aug 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Itau_Unibanco_S.A.-Itau-Resources_1.0.2_v6-API-RESOURCES-private_key_kwt-06-Aug-2021.zip) [[View]](  https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=oVfFkKdGzCTOf)   PASS,,,,[20 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/financings/1.0.4/Itau_Unibanco_S-20-Sep-Financings.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=aF0FTR4xRnIYX) PASS,[23 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/unarranged-overdraft/1.0.4/Itau_Unibanco_S-unarranged-overdraft.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=IZNbIyirhHBvz) PASS,[23 Sep 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/invoice-financings/1.0.4/Itau_Unibanco_S-Discount-Credit-Rights.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=GCphIPt2kaYCm) CONDITIONAL PASS
