Organisation,Deployment,Consentimento API,Dados Cadastrais (PF) API,Dados Cadastrais (PJ) API,Resources API,Contas API,Cartão de Crédito API,Operações de Crédito - Empréstimos API,Operações de Crédito - Financiamentos API,Operações de Crédito - Adiantamento a Depositantes API,Operações de Crédito - Direitos Creditórios Descontados API
Ágora Corretora de Títulos e Valores Mobiliários S.A,Ágora - Open Finance Brazil v1.0,[30 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Agora_CTVM-Agora-API-CONSENTS-30-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=fZsrpTZIqxeek)   PASS,[26 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/Agora_CTVM-AgoraPF-API-CUSTOMER-30-Nov-2021.zip) [[View]](  https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=vKVT7B36D6aFu)   PASS,[26 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/business/1.0.3/Agora_CTVM-AgoraPJ-API-CUSTOMER-30-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=91BkONis8M0b3) PASS,[30 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Agora_CTVM-Agora-API-RESOURCES-30_Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=XbLkEhyBIMciK)   PASS,,,,,,
Banco BMG S.A,Banco BMG Open Banking 1.0.0,[19 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Banco_BMG_S.A-Banco_BMG_Open_Banking-API-Consents19-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=pHtxTyf1apXuS) PASS,[19 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/Banco_BMG_S.A-Banco_BMG_Open_Banking-API-Customers_Personal-19-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=A3KXfla0yZhYs) PASS,[19 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/business/1.0.3/Banco_BMG_S.A-Banco_BMG_Open_Banking-API-Customers_Business-19-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=w4JeaxjYX8t56) PASS,[19 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Banco_BMG_S.A-Banco_BMG_Open_Banking-API-Resources19-Nov-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=eVfe54Y5PoXKW) PASS,[19 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/accounts/1.0.3/Banco_BMG_S.A-Banco_BMG_Open_Banking-API-Accounts-19-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=xcNq95L5BAbcr) PASS,[19 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/credit-card/1.0.4/Banco_BMG_S.A-Banco_BMG_Open_Banking-API-Credit_Card-19-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/log-detail.html?public=true&log=ktJeriCAQC7v97V) PASS,[12 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/loans/1.0.4/Banco_BMG_S.A-Banco_BMG_Open_Banking-API-LOANS-12-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=nwkCmU5oxHv9h) PASS,[12 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/financings/1.0.4/Banco_BMG_S.A-Banco_BMG_Open_Banking-API-FINANCINGS-12-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=KMznpAzaKKyN5) PASS,[19 Nov 2021](Banco_BMG_S.A-Banco_BMG_Open_Banking-API-Unarranged_overdraft-19-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=b8lwtSD4lg9VG) PASS,[19 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/invoice-financings/1.0.4/Banco_BMG_S-Discount-Credit-Rights.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=AOQGXv8lI2pnv) PASS
Banco Bradescard S.A.,Banco Bradescard - Open finance Brazil v1.0,[18 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Banco_Bradescard-Bradescard-API-CONSENTS-19-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=hZHI98nrKfXe9) PASS,[18 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/Banco_Bradescard-Bradescard-API-CUSTOMER-18-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=6a0NNZT9TcrjN) PASS,,[25 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Banco_Bradescard-Bradescard-API-RESOURCES-25-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=JLRtsOSiEfleN) PASS,,[19 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/credit-card/1.0.4/Banco_Bradescard-Bradescard-API-CARDS-19-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=TsCvozyY764w9) PASS,,,,
Banco Bradesco S.A.,Banco Bradesco PJ – Open Finance Brazil v1.0,[22 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Bradesco-BradescoPJ-API-CONSENTS-22-Nov-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=8u9aG6HJvriIA) PASS,,[25 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/business/1.0.3/Bradesco-BradescoPJ-API-CUSTOMER-25-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=TRpCstCKfC7s6) PASS,[22 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Bradesco-BradescoPJ-API-RESOURCES-22-Nov-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=5a4ctLifnUvhk) PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/accounts/1.0.3/Bradesco-BradescoPJ-API-ACCOUNTS-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=V5A79dF2CaNdp) PASS,[15 Dec 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/credit-card/1.0.4/Bradesco-BradescoPJ-API-CARDS-15-Dec-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=qJcEGLxWR8QQy) PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/loans/1.0.4/Bradesco-BradescoPJ-API-LOANS-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=qAi33Ucr4lRkP)   PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/financings/1.0.4/Bradesco-BradescoPJ-API-FINANCINGS-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=wLv1fb1ZzFPdG)   PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/unarranged-overdraft/1.0.4/Bradesco-BradescoPJ-API-UNARRANGED_ACCOUNTS_OVERDRAFT-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=0cnZYY3yHwPnX) PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/invoice-financings/1.0.4/Bradesco-BradescoPJ-API-DISCOUNTED_CREDIT_RIGHTS-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=hjP0tmJf0ZMfI) PASS
Banco Bradesco S.A.,Banco Bradesco Cartões PJ – Open Finance Brazil v1.0,[02 Feb 2022](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Bradesco-BradescoCartoesPJ-API-CONSENTS-4-Feb-2022.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=gd3qhZT3DojGf)   PASS,,[04 Feb 2022](https://openbanking-brasil.github.io/conformance/submissions/functional/business/1.0.3/Bradesco-BradescoCartoesPJ-API-BUSINESSCUSTOMERDATA-4-Feb-2022.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=vjQhEFnR5g4L1) PASS,[08 Feb 2022](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Bradesco-BradescoCartoesPJ-API-RESOURCES-10-Feb-2022.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=MNWTXNi9SglV0) PASS,,[02 Feb 2022](https://openbanking-brasil.github.io/conformance/submissions/functional/credit-card/1.0.4/Bradesco-BradescoCartoesPJ-API-CREDITCARD-4-Feb-2022.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=32ud8Ogb2psXN) PASS,,,,
Banco Bradesco S.A.,next – Open Finance Brazil v1.0,[18 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Bradesco-NextPF-API-CONSENTS-17-Nov-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=iocZ6BPg3vL3l) PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/Bradesco-Next-API-CUSTOMER-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=TNw92lRqZo470) PASS,,[22 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Bradesco-NextPF-API-RESOURCES-23-Nov-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=nNVXeXceZdyvy) PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/accounts/1.0.3/Bradesco-Next-API-ACCOUNTS-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=aB46Qos7VuXrV) PASS,[25 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/credit-card/1.0.4/Bradesco-NextPF-API-CARDS-25-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=mH1HFRczJUGXQ) PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/loans/1.0.4/Bradesco-Next-API-LOANS-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=GRTCNeRwL6jE1) PASS,,,
Banco Bradesco S.A.,Banco Bradesco PF – Open Finance Brazil v1.0,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Bradesco-BradescoPF-API-CONSENTS-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=Dzm3xZYaF9jfS)   PASS,[06 Dec 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/Bradesco-BradescoPF-API-CUSTOMER-06-Dez-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=7JgfrNGxOT0Fc) PASS,,[22 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Bradesco-BradescoPF-API-RESOURCES-22-Nov-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=nyGugrAr0wmww) PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/accounts/1.0.3/Bradesco-BradescoPF-API-ACCOUNTS-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=h973XIuXRDJHn) PASS,[25 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/credit-card/1.0.4/Bradesco-BradescoPF-API-CARDS-25-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=vCHouWi34q0gD) PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/loans/1.0.4/Bradesco-BradescoPF-API-LOANS-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=eUrV4RLXTIjch)   PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/financings/1.0.4/Bradesco-BradescoPF-API-FINANCINGS-17-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=ud4x1TvOXykO1) PASS,[25 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/unarranged-overdraft/1.0.4/Bradesco-BradescoPF-API-UNARRANGED_ACCOUNTS_OVERDRAFT-25-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=A61cAOtbrObhq) PASS,
Banco Bradesco Financiamentos S.A.,Bradesco Financiamentos - Open Finance Brazil v1.0,[18 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Bradesco_Financiamentos-BBFPF-API-CONSENTS-18-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=dRbJxABWr5x8X)   PASS,[17 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/Bradesco_Financiamentos-BBFPF-API-CUSTOMER-17-Nov-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=BZPOlQRjRP5ED)   PASS,,[19 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Bradesco_Financiamentos-BBFPF-API-RESOURCES-19-Nov-2021.zip) [[View]]( https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=AG6pddJVBO5Aa)   PASS,,,,[25 Nov 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/financings/1.0.4/Bradesco_Financiamentos-BBFPF-API-FINANCINGS-25-Nov-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=jzQc3j3GIOTpZ) PASS,,
Banco BOCOM BBM,BOCOM BBM Open Banking 1.0.0,[03 Jan 2022](https://openbanking-brasil.github.io/conformance/submissions/functional/consents/1.0.3/Consents_api_test-mtls-by_value-plain_response-QSqqNKtcenTjY-03-Jan-2022.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=QSqqNKtcenTjY)   PASS,[20 Dec 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/personal/1.0.3/Personal_Customer_Data_api_test-mtls-by_value-plain_response-oPo4xFRkR7CF8-20-Dec-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=oPo4xFRkR7CF8)   PASS,[20 Dec 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/business/1.0.3/Business_Customer_Data_api_test-mtls-by_value-plain_response-PzzPT9XEiMPpl-20-Dec-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=PzzPT9XEiMPpl) PASS,[20 Dec 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/resources/1.0.2/Resources_api_test-mtls-by_value-plain_response-gtAtOQrmol44q-20-Dec-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=gtAtOQrmol44q)   PASS,[20 Dec 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/accounts/1.0.3/Account_api_test-mtls-by_value-plain_response-k7vfL41COsCTM-20-Dec-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=k7vfL41COsCTM) PASS,,[20 Dec 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/loans/1.0.4/Loans_api_test-mtls-by_value-plain_response-WnTwFLIzsLiVY-20-Dec-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=WnTwFLIzsLiVY) PASS,[20 Dec 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/financings/1.0.4/Financings_api_test-mtls-by_value-plain_response-6s7q9arManEJD-20-Dec-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=6s7q9arManEJD) PASS,,[20 Dec 2021](https://openbanking-brasil.github.io/conformance/submissions/functional/invoice-financings/1.0.4/Credit_operations_discounted_credit_rights_api_test-mtls-by_value-plain_response-21DN2MnCve4JQ-20-Dec-2021.zip) [[View]](https://web.conformance.directory.openbankingbrasil.org.br/plan-detail.html?public=true&plan=21DN2MnCve4JQ) PASS
