Id da Organização,Deployment,API,Version,Data
00000000,APIs-4B-v1,consents,v2.1,22-09-2023
00360305,Caixa-Econômica-Federal,consents,v2.1,20-09-2023
01181521,v1.0.1,consents,v2.1,27-09-2023
02038232,Fase-4B-v1.0.0-rc1.0.,consents,v2.1,26-09-2023
07237373,2.0.1,consents,v2.1,28-09-2023
10573521,Mercado-Pago-Open-Banking-v2.0,consents,v2.1,19-09-2023
12345678,example,consents,v2.1,16-08-2023
15114366,BOCOM-BBM-Open-Banking-2.1.0,consents,v2.1,21-09-2023
18236120,nubank-fase-4B-1.0,consents,v2.1,26-09-2023
22896431,4B,consents,v2.1,25-09-2023
27098060,Digio---Consents-v2.1.0,consents,v2.1,19-09-2023
27098060,Digio-Uber---Consents-v2.1.0,consents,v2.1,19-09-2023
30306294,BTG-Banking-Fase-4B,consents,v2.1,28-09-2023
30306294,BTG-Corporate-Fase-4B,consents,v2.1,28-09-2023
30306294,BTG-Empresas-Fase-4B,consents,v2.1,28-09-2023
30306294,BTG-Investimentos-Fase-4B,consents,v2.1,28-09-2023
30306294,BTG-WM-Fase-4B,consents,v2.1,23-09-2023
33264668,BANCO-XP-S.A.-Open-Banking-2.0,consents,v2.1,22-09-2023
33479023,V2.1.0,consents,v2.1,25-09-2023
33657248,"Resources,-Consents-v2.1.0-e-Fin,-Customer-v2.0.1-",consents,v2.1,26-09-2023
37763847,consents-4b-test-plan-v2,consents,v2.1,19-09-2023
43215815,Belvo-Open-Finance-v1.0,consents,v2.1,03-10-2023
58160789,Open-Finance-Brazil,consents,v2.1,26-09-2023
59588111,BV-OpenFinance-2.0,consents,v2.1,05-10-2023
60701190,consents-4b-test-plan-v2,consents,v2.1,20-09-2023
60746948,Banco-Bradesco---Open-Finance-Brasil,consents,v2.1,25-09-2023
61186680,Consents---v2.1.0,consents,v2.1,25-09-2023
61820817,Banco-Paulista-V1.0,consents,v2.1,03-10-2023
74014747,Ágora---Open-Finance-Brasil,consents,v2.1,25-09-2023
74014747,Ágora---Open-Finance-Brasil,consents,v2.1,26-09-2023
90400888,5.1.9,consents,v2.1,28-09-2023
92702067,Banrisul-Open-Finance-4B-v1.0.0-,consents,v2.1,26-09-2023
00000000,APIs-4B-v1,resources,v2.1,22-09-2023
00360305,Caixa-Econômica-Federal,resources,v2.1,20-09-2023
01181521,-v1.0.1,resources,v2.1,27-09-2023
02038232,Fase-4B-v1.0.0-rc1.0,resources,v2.1,26-09-2023
07237373,2.1.0,resources,v2.1,28-09-2023
12345678,example,resources,v2.1,16-08-2023
15114366,BOCOM-BBM-Open-Banking-2.1.0,resources,v2.1,21-09-2023
18236120,nubank-fase-4B-1.0,resources,v2.1,26-09-2023
22896431,4B,resources,v2.1,25-09-2023
30306294,BTG-Banking-Fase-4B,resources,v2.1,28-09-2023
30306294,BTG-Corporate-Fase-4B,resources,v2.1,22-09-2023
30306294,BTG-Empresas-Fase-4B,resources,v2.1,28-09-2023
30306294,BTG-Investimentos-Fase-4B,resources,v2.1,22-09-2023
30306294,BTG-WM-Fase-4B,resources,v2.1,22-09-2023
30306294,BTG-WM-Fase-4B,resources,v2.1,23-09-2023
33479023,V2.1.0,resources,v2.1,25-09-2023
33657248,"Resources,-Consents-v2.1.0-e-Fin,-Customer-v2.0.1-",resources,v2.1,26-09-2023
43215815,Belvo-Open-Finance-v1.0,resources,v2.1,03-10-2023
58160789,Open-Finance-Brazil,resources,v2.1,26-09-2023
59285411,Banco-Pan-OpenFinance-V1.1,resources,v2.1,17-10-2023
59588111,BV-OpenFinance-2.0,resources,v2.1,05-10-2023
60701190,resources-4b-test-plan-v2,resources,v2.1,20-09-2023
60746948,Banco-Bradesco---Open-Finance-Brasil,resources,v2.1,23-09-2023
61186680,Resources---v2.1.0,resources,v2.1,25-09-2023
61820817,Banco-Paulista-V1.0,resources,v2.1,03-10-2023
74014747,Ágora---Open-Finance-Brasil,resources,v2.1,25-09-2023
90400888,5.1.9,resources,v2.1,28-09-2023
92702067,Banrisul-Open-Finance-4B-v1.0.0-,resources,v2.1,21-09-2023
