Organização,Deployment,consents v2.1,resources v2.1
BANCO DO BRASIL S.A.,APIs-4B-v1,[22-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/00000000_APIs-4B-v1_consents_v2.1_22-09-2023.json),[22-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/00000000_APIs-4B-v1_resources_v2.1_22-09-2023.json)
CAIXA ECONOMICA FEDERAL,Caixa-Econômica-Federal,[20-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/00360305_Caixa-Econômica-Federal_consents_v2.1_20-09-2023.json),[20-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/00360305_Caixa-Econômica-Federal_resources_v2.1_20-09-2023.json)
BANCO COOPERATIVO SICREDI S.A.,v1.0.1,[27-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/01181521_v1.0.1_consents_v2.1_27-09-2023.json),
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Fase-4B-v1.0.0-rc1.0.,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/02038232_Fase-4B-v1.0.0-rc1.0._consents_v2.1_26-09-2023.json),
BANCO DO NORDESTE DO BRASIL S.A.,2.0.1,[28-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/07237373_2.0.1_consents_v2.1_28-09-2023.json),
MERCADO PAGO INSTITUICAO DE PAGAMENTO LTDA,Mercado-Pago-Open-Banking-v2.0,[19-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/10573521_Mercado-Pago-Open-Banking-v2.0_consents_v2.1_19-09-2023.json),
,example,[16-08-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/12345678_example_consents_v2.1_16-08-2023.json),[16-08-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/12345678_example_resources_v2.1_16-08-2023.json)
BANCO BOCOM BBM S.A.,BOCOM-BBM-Open-Banking-2.1.0,[21-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/15114366_BOCOM-BBM-Open-Banking-2.1.0_consents_v2.1_21-09-2023.json),[21-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/15114366_BOCOM-BBM-Open-Banking-2.1.0_resources_v2.1_21-09-2023.json)
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,nubank-fase-4B-1.0,[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/18236120_nubank-fase-4B-1.0_consents_v2.1_26-09-2023.json),[26-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/18236120_nubank-fase-4B-1.0_resources_v2.1_26-09-2023.json)
PICPAY SERVICOS S.A.,4B,[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/22896431_4B_consents_v2.1_25-09-2023.json),[25-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/resources/2.1.0/22896431_4B_resources_v2.1_25-09-2023.json)
BANCO DIGIO S.A.,Digio---Consents-v2.1.0,[19-09-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/consents/2.1.0/27098060_Digio---Consents-v2.1.0_consents_v2.1_19-09-2023.json),
