Id da Organização,Deployment,API,Version,Data
00000000,Webhook-v1.0.0,webhook,v1,09-08-2023
00000208,BRB-Auth-Server-1.0,webhook,v1,05-08-2023
00204963,Compilação-5.0.14,webhook,v1,26-09-2023
00315557,Open-Finance-v2.1.0,webhook,v1,31-08-2023
00360305,Caixa-Econômica-Federal-,webhook,v1,04-08-2023
00416968,Webhook-v1,webhook,v1,10-08-2023
00517645,BRP-Lina-OPFI-webhook-v1,webhook,v1,02-08-2023
00556603,Opus-Open-Finance-v1.0,webhook,v1,10-08-2023
00714671,Open-Banking-Brasil,webhook,v1,07-10-2023
00795423,Semear-Lina-OPFI-webhook-v1,webhook,v1,10-09-2023
01027058,Payments-Webhook-v1.0.0,webhook,v1,04-08-2023
01073966,SulcrediAb-Auth-Server-v23.0.6.1,webhook,v1,10-08-2023
01181521,API-Webhook---Open-Finance-Brasil-1.0.0,webhook,v1,15-08-2023
01330387,1.0.0,webhook,v1,22-09-2023
01330387,1.0.0,webhook,v1,23-09-2023
01330387,1.0.0,webhook,v1,24-09-2023
01330387,1.0.0,webhook,v1,25-09-2023
01722480,Versão-1.0.0-do-Webhook,webhook,v1,10-08-2023
02038232,Payments-–-Webhook-–-v1.0.0-rc.1,webhook,v1,02-08-2023
02318507,BANCO-KEB-HANA-1.0.1,webhook,v1,02-08-2023
03130170,Brasilcard-WebHook-v1.0.0,webhook,v1,10-08-2023
03311443,Webhook-V1,webhook,v1,23-08-2023
03323840,Alfa-Webhook-1.0.0,webhook,v1,12-08-2023
03816413,Pagueveloz-Lina-OPFI-webhook-v1,webhook,v1,11-09-2023
04307598,Webhook-v1.0.0,webhook,v1,16-08-2023
04632856,Open-Banking-Brazil-v2.7.0,webhook,v1,06-08-2023
04862600,Payments---Webhook---v1.0,webhook,v1,05-08-2023
04902979,BASA-WEBHOOK-1.0,webhook,v1,09-08-2023
04913711,API-WEBHOOK-v1,webhook,v1,04-08-2023
05192316,Open-Finance-v2.0.0,webhook,v1,08-08-2023
05351887,Zema-Financeira-Openbanking-Webhook,webhook,v1,07-10-2023
05442029,vjOWNsqGq6PdP,webhook,v1,25-09-2023
05463212,Webhook-Versão-1.0,webhook,v1,04-08-2023
07237373,Open-Finance-1.0.0,webhook,v1,10-08-2023
07679404,Webhook-Version:-1.0,webhook,v1,09-08-2023
08253539,1.0.0,webhook,v1,14-09-2023
08561701,PagBank-1.3.0,webhook,v1,18-08-2023
09089356,webhooks-v1.0,webhook,v1,04-08-2023
09313766,1.0.0,webhook,v1,30-08-2023
09464032,Midway-–-Open-Banking-Opus-–-Fase-3-–-v2-(2.1.0)-,webhook,v1,04-08-2023
10398952,Cresol-Pagamentos-V1.10.0,webhook,v1,08-08-2023
10573521,Open-Banking-Brazil-v1.0.0,webhook,v1,04-08-2023
10664513,Funcional-Tests-for-DCR-DCM---PAGTO-Role---Webhook,webhook,v1,18-08-2023
11275560,Payments-V2---WebHook-V1,webhook,v1,12-08-2023
11476673,Webhook-1.0,webhook,v1,02-08-2023
11581339,https:api.openbanking.moneyp.com.brorgsbmp.we,webhook,v1,15-09-2023
11703662,Travelex-v2.0,webhook,v1,02-08-2023
11970623,Webhook-V1.0,webhook,v1,26-08-2023
12345678,Dummy,payments-webhook,v1,03-10-2023
13009717,BANESE-OpenFinance-Webhook-v1.0,webhook,v1,09-08-2023
13140088,Open-Bankly---Webhook-1.0.0,webhook,v1,12-08-2023
13203354,Fitbank-Open-Banking-1.0.0,webhook,v1,12-09-2023
13884775,NA,webhook,v1,25-08-2023
13935893,Celcoin-Open-Banking-v1.0.0,webhook,v1,10-08-2023
13935893,v1.0.0-webhook-v1-10-08-2023,webhook,v1,16-08-2023
14388334,ParanaBanco-Openbanking-v2,webhook,v1,02-08-2023
15111975,Iugu-Lina-OPFI-webhook-v1,webhook,v1,10-08-2023
15111975,iugu-Lina-OPFI-payments-v2,webhook,v1,08-08-2023
16501555,open-finance-integration-0.3.0,webhook,v1,04-08-2023
17184037,Open-Banking-Brazil-V1.0.0,webhook,v1,18-08-2023
17192451,Itaú-Card---Payments---Webhook----v1.0.0-rc.1,webhook,v1,08-08-2023
17351180,Webhook-v1.0.0,webhook,v1,18-08-2023
18236120,nubank-webhook-1.0,webhook,v1,16-08-2023
19540550,asaas-payments-webhook-1.0.0,webhook,v1,09-08-2023
20520298,ADIQ-WEBHOOK-V1.0.0,webhook,v1,02-08-2023
20855875,Open-Finance---Payments-v2.0.0---Webhook,webhook,v1,02-08-2023
21018182,V1.0.0,webhook,v1,02-08-2023
21332862,imediata,webhook,v1,15-08-2023
22896431,webhook-v1.0.0.rc1,webhook,v1,02-08-2023
27098060,Digio---Open-Banking---webhook,webhook,v1,08-08-2023
27098060,Digio-Uber--Open-Banking---webhook,webhook,v1,08-08-2023
