Id da Organização,Deployment,API,Version,Data
00000000,API Payments BB v2,payments,v2,31-01-2023
00000208,BRB Auth Server 1.0,payments,v2,31-01-2023
00204963,Open Finance v2.0.0,payments,v2,01-02-2023
00315557,Unicred Payment Pix Versão 2.0.0 ,payments,v2,16-02-2023
00360305,Caixa Econômica Federal,payments,v2,31-01-2023
00416968,OPBK Inter PF 2.0,payments,v2,30-01-2023
00416968,OPBK Inter PJ 2.0,payments,v2,30-01-2023
00517645,BRP OB v.2.1,payments,v2,31-01-2023
00556603,Banco Bari - Open Banking - Fase 3 - V2,payments,v2,03-02-2023
00795423,Semear-Lina-OPFI-payments-v.2.0.0,payments,v2,31-01-2023
01027058,Cielo Open Finance 2.0.0,payments,v2,30-01-2023
01073966,23.0.1.1,payments,v2,01-02-2023
01181521,Open Finance V2.0.0,payments,v2,30-01-2023
01330387,Open Finance v2.0.0,payments,v2,01-02-2023
01722480,API PAYMENTS V2,payments,v2,30-01-2023
01858774,banco BV - Certificação API Payments  v2.0.0,payments,v2,31-01-2023
02038232,Payments API V2 - INIC DICT MANU QRES QRDN,payments,v2,31-01-2023
02318507,BANCO KEB HANA 1.0.1,payments,v2,01-02-2023
02405189,Central Ailos Open Finance 1.0.0,payments,v2,14-02-2023
03046391,Uniprime Central Open Finance 2.0.0,payments,v2,30-01-2023
03130170,5.0.8 build: fc079f6449fcc4eba3954f37bbcf92710f8a8,payments,v2,01-02-2023
03311443,V2.0.0,payments,v2,01-02-2023
03323840,Banco Alfa – Open Banking Brazil V2.0,payments,v2,30-01-2023
03427097,Central Ailos Open Finance 1.0.0,payments,v2,14-02-2023
03461243,Central Ailos Open Finance 1.0.0,payments,v2,10-02-2023
04307598,2.0.0,payments,v2,10-03-2023
04632856,OPB v2.0.0-rc2.0.0,payments,v2,01-02-2023
04831810,2.0.0,payments,v2,12-04-2023
04831810,Open Finance v2.0.0,payments,v2,01-02-2023
04862600,Open Banking Brasil V2.0,payments,v2,02-02-2023
04902979,Banco da Amazonia Openbanking v2,payments,v2,15-02-2023
04913711,v2.0.0,payments,v2,02-03-2023
05192316,Open Finance v2.0.0,payments,v2,01-02-2023
05442029,CASADOCREDITOOB 2.0.0,payments,v2,30-01-2023
05979692,Central Ailos Open Finance 1.0.0,payments,v2,14-02-2023
07237373,BNB Open Finance Brasil 2.0.0,payments,v2,30-01-2023
07679404,Banco Topazio Open Finance 2.0.0,payments,v2,31-01-2023
08075352,Central Ailos Open Finance,payments,v2,14-02-2023
08240446,Open Finance v2.0.0,payments,v2,01-02-2023
08253539,Open Finance v2.0.0,payments,v2,01-02-2023
08561701,PagSeguro 1.2.0,payments,v2,30-01-2023
08850613,Central Ailos Open Finance 1.0.0,payments,v2,14-02-2023
09089356,Payments-V2,payments,v2,30-01-2023
09313766,Open Finance v2.0.0,payments,v2,03-02-2023
09464032,Midway - Open Banking Opus - Fase 3 - v2,payments,v2,01-02-2023
09512539,Central Ailos Open Finance 1.0.0,payments,v2,14-02-2023
09590601,Central Ailos Open Finance 1.0.0,payments,v2,14-02-2023
10143743,Central Ailos Open Finance,payments,v2,14-02-2023
10218474,Central Ailos Open Finance 1.0.0,payments,v2,14-02-2023
10311218,Central Ailos Open Finance 1.0.0,payments,v2,14-02-2023
10398952," Cresol-Pagamentos-V1.5.0",payments,v2,01-02-2023
10573521,Mercado Pago Open Banking v2.0,payments,v2,26-01-2023
10664513,Agibank 1.0.0,payments,v2,27-01-2023
11275560,RecargaPay Payments v2.0.0,payments,v2,28-03-2023
11476673,Payments API V2 - INIC DICT MANU QRES QRDN,payments,v2,31-01-2023
11581339,Open Finance v2.0.0,payments,v2,23-02-2023
11703662,Travelex v2.0,payments,v2,02-05-2023
11970623,API Open Finance Banco Senff V2.0.0,payments,v2,31-01-2023
13009717,BANESE OpenBanking v2.0,payments,v2,01-02-2023
13140088,Bankly – Open Bankly 2.0.0,payments,v2,01-02-2023
13203354,Fitbank Open Banking 1.0.0,payments,v2,29-03-2023
13370835,JANUARY-2023,payments,v2,31-01-2023
13884775,Hub Authorization Server v2.0.0,payments,v2,14-02-2023
13935893,Celcoin - Open Banking Brasil v2.0,payments,v2,31-01-2023
14388334," 2.0.0",payments,v2,16-02-2023
15111975,Iugu-Lina-OPFI-v.1.0.0,payments,v2,07-03-2023
15357060,Pre Produção,payments,v2,13-03-2023
15357060,Produção,payments,v2,16-03-2023
16501555,open-finance-dispatcher v0.35.3,payments,v2,30-01-2023
16779741,Central Ailos Open FInance 1.0.0,payments,v2,14-02-2023
17184037," 2.0.0",payments,v2,02-02-2023
17192451,Open Banking Brazil Payments v2.0.0,payments,v2,31-01-2023
17351180,API de Pagamentos v2.0.0,payments,v2,10-02-2023
