Organização,Deployment,payments
BANCO DO BRASIL S.A.,API Payments BB v2,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/00000000_API%20Payments%20BB%20v2_payments_v2_31-01-2023.json)
BRB - BANCO DE BRASILIA S.A.,BRB Auth Server 1.0,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/00000208_BRB%20Auth%20Server%201.0_payments_v2_31-01-2023.json)
COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA,Open Finance v2.0.0,[01-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/00204963_Open%20Finance%20v2.0.0_payments_v2_01-02-2023.json)
CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.,Unicred Payment Pix Versão 2.0.0 ,[16-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/00315557_Unicred%20Payment%20Pix%20Versão%202.0.0%20_payments_v2_16-02-2023.json)
CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/00360305_Caixa%20Econômica%20Federal_payments_v2_31-01-2023.json)
BANCO INTER S.A.,OPBK Inter PF 2.0,[30-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/00416968_OPBK%20Inter%20PF%202.0_payments_v2_30-01-2023.json)
BANCO INTER S.A.,OPBK Inter PJ 2.0,[30-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/00416968_OPBK%20Inter%20PJ%202.0_payments_v2_30-01-2023.json)
BANCO RIBEIRAO PRETO S.A.,BRP OB v.2.1,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/00517645_BRP%20OB%20v.2.1_payments_v2_31-01-2023.json)
BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,Banco Bari - Open Banking - Fase 3 - V2,[03-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/00556603_Banco%20Bari%20-%20Open%20Banking%20-%20Fase%203%20-%20V2_payments_v2_03-02-2023.json)
BANCO SEMEAR S.A.,Semear-Lina-OPFI-payments-v.2.0.0,[31-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/00795423_Semear-Lina-OPFI-payments-v.2.0.0_payments_v2_31-01-2023.json)
CIELO S.A.,Cielo Open Finance 2.0.0,[30-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/01027058_Cielo%20Open%20Finance%202.0.0_payments_v2_30-01-2023.json)
COOPERATIVA DE CRÉDITO RURAL DE ABELARDO LUZ - SULCREDI/CREDILUZ,23.0.1.1,[01-02-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/01073966_23.0.1.1_payments_v2_01-02-2023.json)
BANCO COOPERATIVO SICREDI S.A.,Open Finance V2.0.0,[30-01-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/2.0.0/01181521_Open%20Finance%20V2.0.0_payments_v2_30-01-2023.json)
