Organização,Deployment,payments v3.0
BANCO DO BRASIL S.A.,API-Iniciação-de-Pagamentos-V3.0.0,[07-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/00000000_API-Iniciação-de-Pagamentos-V3.0.0_payments_v3_07-10-2023.json)
BRB - BANCO DE BRASILIA S.A.,BRB-Auth-Server-1.0,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/00000208_BRB-Auth-Server-1.0_payments_v3_03-10-2023.json)
CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.,Open-Finance-v3.0.0-,[17-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/00315557_Open-Finance-v3.0.0-_payments_v3_17-10-2023.json)
CAIXA ECONOMICA FEDERAL,Caixa-Econômica-Federal,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/00360305_Caixa-Econômica-Federal_payments_v3_04-10-2023.json)
BANCO INTER S.A.,Payments-PF-v3,[05-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/00416968_Payments-PF-v3_payments_v3_05-10-2023.json)
BANCO INTER S.A.,Payments-v3,[05-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/00416968_Payments-v3_payments_v3_05-10-2023.json)
BANCO RIBEIRAO PRETO S.A.,89c47d388ac4de7e4516a672f782e3467063afdf,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/00517645_89c47d388ac4de7e4516a672f782e3467063afdf_payments_v3_04-10-2023.json)
CIELO S.A.,Payments-v3.0.0,[10-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/01027058_Payments-v3.0.0_payments_v3_10-10-2023.json)
COOPERATIVA DE CRÉDITO RURAL DE ABELARDO LUZ - SULCREDI/CREDILUZ,23.0.6,[05-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/01073966_23.0.6_payments_v3_05-10-2023.json)
BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB,Iniciação-de-Pagamentos-v3.0.0,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/02038232_Iniciação-de-Pagamentos-v3.0.0_payments_v3_03-10-2023.json)
BANCO KEB HANA DO BRASIL S.A.,1.0.1,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/02318507_1.0.1_payments_v3_04-10-2023.json)
"PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",V3-Payment-API,[13-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/03311443_V3-Payment-API_payments_v3_13-10-2023.json)
BANCO ALFA S.A.,Banco-Alfa-–-Open-Finance-Brazil-V3.0,[10-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/03323840_Banco-Alfa-–-Open-Finance-Brazil-V3.0_payments_v3_10-10-2023.json)
PAGUEVELOZ INSTITUICAO DE PAGAMENTO LTDA,Pagueveloz-Lina-OPFI-payments-v3,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/03816413_Pagueveloz-Lina-OPFI-payments-v3_payments_v3_03-10-2023.json)
CREDISIS - CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.,CREDISIS-API-Payments-v3.0.0,[09-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/04632856_CREDISIS-API-Payments-v3.0.0_payments_v3_09-10-2023.json)
BANCO DA AMAZONIA S.A.,BASA-APIv3,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/04902979_BASA-APIv3_payments_v3_03-10-2023.json)
COOPERATIVA CENTRAL DE CRÉDITO - AILOS,API-de-Iniciação-de-Pagamentos-3.0.0,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/05463212_API-de-Iniciação-de-Pagamentos-3.0.0_payments_v3_04-10-2023.json)
BANCO TOPAZIO,Certificação-funcional-da-API-dA-Payments-V3,[13-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/07679404_Certificação-funcional-da-API-dA-Payments-V3_payments_v3_13-10-2023.json)
PAGSEGURO INTERNET S.A.,PagBank-1.4.0,[05-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/08561701_PagBank-1.4.0_payments_v3_05-10-2023.json)
GERENCIANET S.A.,PAYMENTS-V3,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/09089356_PAYMENTS-V3_payments_v3_04-10-2023.json)
CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA  CRESOL CONFEDERAÇÃO,Cresol-Pagamentos-V1.11.0,[05-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/10398952_Cresol-Pagamentos-V1.11.0_payments_v3_05-10-2023.json)
RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA.,RecargaPay-V1.0.0,[05-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/11275560_RecargaPay-V1.0.0_payments_v3_05-10-2023.json)
BANCO RANDON SA,V3,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/11476673_V3_payments_v3_11-10-2023.json)
,example,[16-08-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/12345678_example_payments_v3_16-08-2023.json)
ACESSO SOLUÇÕES DE PAGAMENTO S.A.,Open-Bankly-3.0.0,[05-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/13140088_Open-Bankly-3.0.0_payments_v3_05-10-2023.json)
HUB PAGAMENTOS S.A,Payments-v3.0.0,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/13884775_Payments-v3.0.0_payments_v3_04-10-2023.json)
CELCOIN INSTITUICAO DE PAGAMENTO S.A.,CELCOIN-INSTITUICAO-DE-PAGAMENTO-S.A.-OB-V3,[04-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/13935893_CELCOIN-INSTITUICAO-DE-PAGAMENTO-S.A.-OB-V3_payments_v3_04-10-2023.json)
PARANÁ BANCO S.A.,3.0.0,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/14388334_3.0.0_payments_v3_11-10-2023.json)
IUGU INSTITUICAO DE PAGAMENTO S.A.,iugu-Lina-OPBA-payments-v3,[11-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/15111975_iugu-Lina-OPBA-payments-v3_payments_v3_11-10-2023.json)
STONE PAGAMENTOS S.A.,open-finance-integration--v0.3.15,[05-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/16501555_open-finance-integration--v0.3.15_payments_v3_05-10-2023.json)
BANCO ITAUCARD S.A.,Open-Banking-Brazil-Payments-v3.0,[03-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/17192451_Open-Banking-Brazil-Payments-v3.0_payments_v3_03-10-2023.json)
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,nubank-payments-3.0,[10-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/18236120_nubank-payments-3.0_payments_v3_10-10-2023.json)
Neon Pagamentos S.A.,Payments-Neon-V3,[07-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/20855875_Payments-Neon-V3_payments_v3_07-10-2023.json)
Neon Pagamentos S.A.,Payments-V3,[07-10-2023](https://github.com/OpenBanking-Brasil/conformance/blob/main/submissions/functional/payments/3.0.0/20855875_Payments-V3_payments_v3_07-10-2023.json)
